Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
1,1,-1,-1,2,1,0
1,2,-1,-2,3,1,0
1,3,-1,-3,5,1,0
1,4,-1,-4,4,1,0
1,5,-11,-15,2,1,1
2,1,-1,-1,3,1,0
2,2,0,-1,2,1,0
2,3,-1,-2,1,1,0
2,4,0,-2,0,1,0
2,5,0,-2,0,1,0
2,6,0,-2,1,1,0
2,7,0,-2,5,1,0
2,8,-1,-3,3,1,0
2,9,-10,-13,1,1,1
3,1,0,0,1,1,0
3,2,0,0,2,1,0
3,3,0,0,4,1,0
3,4,0,0,3,1,0
3,5,0,0,1,1,0
3,6,0,0,5,1,0
3,7,0,0,2,1,0
3,8,-10,-10,2,1,1
4,1,-1,-1,4,1,0
4,2,-1,-2,4,1,0
4,3,0,-2,2,1,0
4,4,0,-2,5,1,0
4,5,0,-2,5,1,0
4,6,0,-2,1,1,0
4,7,0,-2,5,1,0
4,8,0,-2,1,1,0
4,9,-1,-3,2,1,0
4,10,0,-3,3,1,0
4,11,0,-3,3,1,0
4,12,0,-3,4,1,0
4,13,0,-3,3,1,0
4,14,0,-3,4,1,0
4,15,0,-3,2,1,0
4,16,0,-3,5,1,0
4,17,0,-3,2,1,0
4,18,0,-3,3,1,0
4,19,0,-3,3,1,0
4,20,0,-3,1,1,0
4,21,0,-3,2,1,0
4,22,0,-3,1,1,0
4,23,0,-3,1,1,0
4,24,-11,-14,2,1,1
5,1,0,0,2,1,0
5,2,50,50,5,1,0
5,3,0,50,5,1,0
5,4,0,50,1,1,0
5,5,50,100,5,1,0
5,6,0,100,0,1,0
5,7,0,100,5,1,0
5,8,-10,90,2,1,1
6,1,0,0,2,1,0
6,2,0,0,5,1,0
6,3,0,0,1,1,0
6,4,0,0,4,1,0
6,5,0,0,5,1,0
6,6,0,0,5,1,0
6,7,0,0,2,1,0
6,8,0,0,0,1,0
6,9,0,0,3,1,0
6,10,0,0,2,1,0
6,11,-1,-1,2,1,0
6,12,0,-1,0,1,0
6,13,-10,-11,0,1,1
7,1,-3,-3,1,1,0
7,2,-3,-6,4,1,0
7,3,0,-6,1,1,0
7,4,0,-6,2,1,0
7,5,0,-6,4,1,0
7,6,0,-6,3,1,0
7,7,-1,-7,1,1,0
7,8,0,-7,0,1,0
7,9,0,-7,4,1,0
7,10,0,-7,2,1,0
7,11,0,-7,4,1,0
7,12,50,43,5,1,0
7,13,-3,40,0,1,0
7,14,-3,37,4,1,0
7,15,0,37,1,1,0
7,16,0,37,3,1,0
7,17,0,37,4,1,0
7,18,0,37,4,1,0
7,19,0,37,3,1,0
7,20,0,37,1,1,0
7,21,0,37,5,1,0
7,22,0,37,1,1,0
7,23,0,37,4,1,0
7,24,50,87,5,1,0
7,25,-1,86,3,1,0
7,26,-1,85,5,1,0
7,27,-1,84,4,1,0
7,28,0,84,1,1,0
7,29,-10,74,2,1,1
8,1,0,0,3,1,0
